chunk_id,doc_id,chunk_text,effective_date,exported_at
policy_refund_v4_11_fdd78244c03f2670,policy_refund_v4,"=== Điều 3: Điều kiện áp dụng và ngoại lệ === Hoàn tiền — Điều kiện áp dụng: Yêu cầu được gửi trong vòng 7 ngày kể từ thời điểm xác nhận đơn hàng. Ngoại lệ không được hoàn tiền: - Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription). - Đơn hàng đã áp dụng mã giảm giá đặc biệt theo chương trình khuyến mãi Flash Sale. - Sản phẩm đã được kích hoạt hoặc đăng ký tài khoản.",2026-02-01,2026-04-10T08:00:00
policy_refund_v4_12_8312bbf5c9c6d051,policy_refund_v4,"=== Điều 4: Quy trình xử lý yêu cầu hoàn tiền === Bước 1: Khách hàng gửi yêu cầu qua hệ thống ticket nội bộ với category ""Refund Request"". Bước 2: CS Agent xem xét trong vòng 1 ngày làm việc và xác nhận điều kiện đủ điều kiện. Bước 3: Nếu đủ điều kiện, chuyển yêu cầu sang Finance Team để xử lý hoàn tiền. Bước 4: Finance Team xử lý trong 3-5 ngày làm việc và thông báo kết quả cho khách hàng.",2026-02-01,2026-04-10T08:00:00
policy_refund_v4_13_496493def16889b1,policy_refund_v4,=== Điều 5: Hình thức hoàn tiền === - Hoàn tiền qua phương thức thanh toán gốc: áp dụng trong 100% trường hợp đủ điều kiện. - Hoàn tiền qua credit nội bộ (store credit): khách hàng có thể chọn nhận store credit thay thế với giá trị 110% so với số tiền hoàn.,2026-02-01,2026-04-10T08:00:00
policy_refund_v4_14_86b4ff2aa5c0b12c,policy_refund_v4,"=== Điều 6: Liên hệ và hỗ trợ === Email: cs-refund@company.internal Hotline nội bộ: ext. 1234 Giờ làm việc: Thứ 2 - Thứ 6, 8:00 - 17:30",2026-02-01,2026-04-10T08:00:00
sla_p1_2026_15_a44cb8faa2277272,sla_p1_2026,SLA TICKET - QUY ĐỊNH XỬ LÝ SỰ CỐ Source: support/sla-p1-2026.pdf Department: IT Effective Date: 2026-01-15 Access: internal,2026-01-15,2026-04-10T08:00:00
sla_p1_2026_16_f8d29ce77fd08899,sla_p1_2026,"=== Phần 1: Định nghĩa mức độ ưu tiên === P1 — CRITICAL (Khẩn cấp): Định nghĩa: Sự cố ảnh hưởng toàn bộ hệ thống production, không có workaround. Ví dụ: Database sập, API gateway down, toàn bộ người dùng không thể đăng nhập. P2 — HIGH (Nghiêm trọng): Định nghĩa: Sự cố ảnh hưởng một phần hệ thống, có workaround tạm thời. Ví dụ: Một số tính năng không hoạt động, ảnh hưởng một nhóm người dùng. P3 — MEDIUM (Trung bình): Định nghĩa: Lỗi ảnh hưởng không đáng kể, người dùng vẫn làm việc được. P4 — LOW (Thấp): Định nghĩa: Yêu cầu cải tiến, gợi ý, hoặc lỗi giao diện nhỏ.",2026-01-15,2026-04-10T08:00:00
sla_p1_2026_17_1a1c8b1c47177f49,sla_p1_2026,"=== Phần 2: SLA theo mức độ ưu tiên === Ticket P1: - Phản hồi ban đầu (first response): 15 phút kể từ khi ticket được tạo. - Xử lý và khắc phục (resolution): 4 giờ. - Escalation: Tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút. - Thông báo stakeholder: Ngay khi nhận ticket, update mỗi 30 phút cho đến khi resolve. Ticket P2: - Phản hồi ban đầu: 2 giờ. - Xử lý và khắc phục: 1 ngày làm việc. - Escalation: Tự động escalate sau 90 phút không có phản hồi. Ticket P3: - Phản hồi ban đầu: 1 ngày làm việc. - Xử lý và khắc phục: 5 ngày làm việc. Ticket P4: - Phản hồi ban đầu: 3 ngày làm việc. - Xử lý và khắc phục: Theo sprint cycle (thông thường 2-4 tuần).",2026-01-15,2026-04-10T08:00:00
sla_p1_2026_18_c093c5b70be662c1,sla_p1_2026,"=== Phần 3: Quy trình xử lý sự cố P1 === Bước 1: Tiếp nhận On-call engineer nhận alert hoặc ticket, xác nhận severity trong 5 phút. Bước 2: Thông báo Gửi thông báo tới Slack #incident-p1 và email incident@company.internal ngay lập tức. Bước 3: Triage và phân công Lead Engineer phân công engineer xử lý trong 10 phút. Bước 4: Xử lý Engineer cập nhật tiến độ lên ticket mỗi 30 phút. Nếu cần hỗ trợ thêm, escalate ngay. Bước 5: Resolution Sau khi khắc phục, viết incident report trong vòng 24 giờ.",2026-01-15,2026-04-10T08:00:00
sla_p1_2026_19_7b483e8be5b6485a,sla_p1_2026,"=== Phần 4: Công cụ và kênh liên lạc === Ticket system: Jira (project IT-SUPPORT) Slack channel: #incident-p1, #incident-p2 PagerDuty: Tự động nhắn on-call khi P1 ticket mới Hotline on-call: ext. 9999 (24/7)",2026-01-15,2026-04-10T08:00:00
sla_p1_2026_20_50f5f16c76a894cf,sla_p1_2026,=== Phần 5: Lịch sử phiên bản === v2026.1 (2026-01-15): Cập nhật SLA P1 resolution từ 6 giờ xuống 4 giờ. v2025.3 (2025-09-01): Thêm quy trình escalation tự động. v2025.1 (2025-03-01): Phiên bản đầu tiên.,2026-01-15,2026-04-10T08:00:00
it_helpdesk_faq_21_17a8a70a1c7a4ed7,it_helpdesk_faq,IT HELPDESK FAQ — CÂU HỎI THƯỜNG GẶP Source: support/helpdesk-faq.md Department: IT Effective Date: 2026-01-20 Access: internal,2026-01-20,2026-04-10T08:00:00
it_helpdesk_faq_22_1b21da9a06b1f6e4,it_helpdesk_faq,"=== Section 1: Tài khoản và mật khẩu === Q: Tôi quên mật khẩu, phải làm gì? A: Truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000. Mật khẩu mới sẽ được gửi qua email công ty trong vòng 5 phút. Q: Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai? A: Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO. Q: Mật khẩu cần thay đổi định kỳ không? A: Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn.",2026-01-20,2026-04-10T08:00:00
it_helpdesk_faq_23_d0518b9dfd118935,it_helpdesk_faq,"=== Section 2: VPN và kết nối từ xa === Q: Phần mềm VPN nào công ty dùng? A: Công ty sử dụng Cisco AnyConnect. Download tại https://vpn.company.internal/download. Q: Tôi bị mất kết nối VPN liên tục, phải làm gì? A: Kiểm tra kết nối Internet trước. Nếu vẫn lỗi, tạo ticket P3 với log file VPN đính kèm. Q: VPN có giới hạn số thiết bị không? A: Mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc.",2026-01-20,2026-04-10T08:00:00
it_helpdesk_faq_24_39d8c3f03ebb2964,it_helpdesk_faq,"=== Section 3: Phần mềm và license === Q: Tôi cần cài phần mềm mới, phải làm gì? A: Gửi yêu cầu qua Jira project IT-SOFTWARE. Line Manager phải phê duyệt trước khi IT cài đặt. Q: Ai chịu trách nhiệm gia hạn license phần mềm? A: IT Procurement team quản lý tất cả license. Nhắc nhở sẽ được gửi 30 ngày trước khi hết hạn.",2026-01-20,2026-04-10T08:00:00
it_helpdesk_faq_25_abecc05e4d423d2c,it_helpdesk_faq,"=== Section 4: Thiết bị và phần cứng === Q: Laptop mới được cấp sau bao lâu khi vào công ty? A: Laptop được cấp trong ngày onboarding đầu tiên. Nếu có vấn đề, liên hệ HR hoặc IT Admin. Q: Laptop bị hỏng phải báo cáo như thế nào? A: Tạo ticket P2 hoặc P3 tùy mức độ nghiêm trọng. Mang thiết bị đến IT Room (tầng 3) để kiểm tra.",2026-01-20,2026-04-10T08:00:00
it_helpdesk_faq_26_05020ff89dcfc81b,it_helpdesk_faq,"=== Section 5: Email và lịch === Q: Hộp thư đến đầy, phải làm gì? A: Xóa email cũ hoặc yêu cầu tăng dung lượng qua ticket IT-ACCESS. Dung lượng tiêu chuẩn là 50GB. Q: Tôi không nhận được email từ bên ngoài? A: Kiểm tra thư mục Spam trước. Nếu vẫn không có, tạo ticket P2 kèm địa chỉ email gửi và thời gian gửi.",2026-01-20,2026-04-10T08:00:00
it_helpdesk_faq_27_5cd2a1d385a35b05,it_helpdesk_faq,"=== Section 6: Liên hệ IT Helpdesk === Hotline: ext. 9000 (8:00 - 18:00, Thứ 2 - Thứ 6) Email: helpdesk@company.internal Jira: project IT-SUPPORT Slack: #it-helpdesk Emergency (ngoài giờ): ext. 9999",2026-01-20,2026-04-10T08:00:00
hr_leave_policy_28_604bdc6f1e5c7b5f,hr_leave_policy,CHÍNH SÁCH NGHỈ PHÉP VÀ PHÚC LỢI NHÂN SỰ Source: hr/leave-policy-2026.pdf Department: HR Effective Date: 2026-01-01 Access: internal,2026-01-01,2026-04-10T08:00:00
hr_leave_policy_29_fac00e07f2e086a7,hr_leave_policy,=== Phần 1: Các loại nghỉ phép === 1.1 Nghỉ phép năm (Annual Leave): - Số ngày: 12 ngày/năm cho nhân viên dưới 3 năm kinh nghiệm. - Số ngày: 15 ngày/năm cho nhân viên từ 3-5 năm kinh nghiệm. - Số ngày: 18 ngày/năm cho nhân viên trên 5 năm kinh nghiệm. - Chuyển năm sau: Tối đa 5 ngày phép năm chưa dùng được chuyển sang năm tiếp theo. 1.2 Nghỉ ốm (Sick Leave): - Số ngày: 10 ngày/năm có trả lương. - Yêu cầu: Thông báo cho Line Manager trước 9:00 sáng ngày nghỉ. - Nếu nghỉ trên 3 ngày liên tiếp: Cần giấy tờ y tế từ bệnh viện. 1.3 Nghỉ thai sản: - Nghỉ sinh con: 6 tháng theo quy định Luật Lao động. - Nghỉ nuôi con nhỏ: 1 tiếng/ngày trong 12 tháng đầu sau sinh. 1.4 Nghỉ lễ tết: Theo lịch nghỉ lễ quốc gia do HR công bố hàng năm vào tháng 12.,2026-01-01,2026-04-10T08:00:00
hr_leave_policy_30_1b42bfdf2a2c5f8b,hr_leave_policy,=== Phần 2: Quy trình xin nghỉ phép === Bước 1: Nhân viên gửi yêu cầu nghỉ phép qua hệ thống HR Portal (https://hr.company.internal) ít nhất 3 ngày làm việc trước ngày nghỉ. Bước 2: Line Manager phê duyệt hoặc từ chối trong vòng 1 ngày làm việc. Bước 3: Nhân viên nhận thông báo qua email sau khi được phê duyệt. Trường hợp khẩn cấp: Có thể gửi yêu cầu muộn hơn nhưng phải được Line Manager đồng ý qua tin nhắn trực tiếp.,2026-01-01,2026-04-10T08:00:00
hr_leave_policy_31_244c1513f22d94dd,hr_leave_policy,=== Phần 3: Chính sách làm thêm giờ === 3.1 Điều kiện làm thêm: Làm thêm giờ phải được Line Manager phê duyệt trước bằng văn bản. 3.2 Hệ số lương làm thêm: - Ngày thường: 150% lương giờ tiêu chuẩn. - Ngày cuối tuần: 200% lương giờ tiêu chuẩn. - Ngày lễ: 300% lương giờ tiêu chuẩn.,2026-01-01,2026-04-10T08:00:00
hr_leave_policy_32_6b97890c59060256,hr_leave_policy,=== Phần 4: Remote work policy === 4.1 Điều kiện remote: - Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần. - Team Lead phải phê duyệt lịch remote qua HR Portal. - Ngày onsite bắt buộc: Thứ 3 và Thứ 5 theo lịch team. 4.2 Yêu cầu kỹ thuật khi remote: - Kết nối VPN bắt buộc khi làm việc với hệ thống nội bộ. - Camera bật trong các cuộc họp team.,2026-01-01,2026-04-10T08:00:00
hr_leave_policy_33_ad6f82e6fdfa5368,hr_leave_policy,"=== Phần 5: Liên hệ HR === Email: hr@company.internal Hotline: ext. 2000 HR Portal: https://hr.company.internal Giờ làm việc: Thứ 2 - Thứ 6, 8:30 - 17:30",2026-01-01,2026-04-10T08:00:00
